title,price,year,mileage,brand,condition,bids,seller_score,reviews_count,link_type,status
2010 Lincoln MKZ/Zephyr Base 4dr Sedan,7900.0,2010,69435,Lincoln,Florida! Fly In Drive Home Or We Can Ship To Your Door!,,99.3%,961,,Active
2012 BMW 7-Series,8700.0,2012,116055,BMW,Pre-Owned,,100%,929,,Active
2017 Volkswagen Passat R-LINE,5400.0,2017,174005,Volkswagen,Sell Your Auto Fast Orlando,,100%,1200,,Active
2016 Subaru Legacy 2.5i AWD,3300.0,2016,92848,Subaru,Great Value Look,12.0,100%,2300,Buy It Now,Active
2017 Nissan Altima 2.5,3500.0,2017,47000,Nissan,Pre-Owned,,71.4%,50,,Active
2012 Cadillac CTS LUXURY COLLECTION,3500.0,2012,178078,Cadillac,Sell Your Auto Fast Orlando,,100%,1200,,Active
2014 Chevrolet Impala LT,3200.0,2014,152052,Chevrolet,Sell Your Auto Fast Orlando,,100%,1200,,Active
2017 Cadillac CT6 LUXURY * 360 CAMERA * BLIND SPOT * NAVIGATION * POWER TRUNKLID,12900.0,2017,32600,Cadillac,PARK SENSORS * LANE ASSIST * HEATED SEATS * BOSE SOUND,,100%,117,Buy It Now,Active
2013 Infiniti G37 G37s CONVERTIBLE,12999.0,2013,94950,Infiniti,Pre-Owned,,100%,562,,Active
2007 Chevrolet Impala LT,260.0,2007,155818,Chevrolet,Pre-Owned,4.0,99%,10300,Auction,Active
2008 Jaguar XJ XJ8 L - ONE OWNER SINCE NEW - IMMACULATE!,15600.0,2008,83797,Jaguar,Pre-Owned,,92.3%,220,,Active
2013 Nissan Altima 2.5 SV - 2 OWNERS - FLORIDA CAR - CLEAN CARFAX - MOONROOF,2999.0,2013,152231,Nissan,Pre-Owned,,98.7%,1200,Buy It Now,Active
2014 Honda Accord SPORT,1375.0,2014,203000,Honda,Pre-Owned,12.0,100%,21,Auction,Active
New Listing2007 Mercedes-Benz CL-Class,7000.0,2007,113000,Mercedes-Benz,Pre-Owned,,100%,11,,Active
2006 Bentley Continental GT FLYING SPUR,14900.0,2006,84528,Bentley,Pre-Owned,,100%,2400,,Active
New Listing2023 Toyota Camry LE Sedan 4D,10980.0,2023,17146,Toyota,"Repairable, Rebuidable, Low price, We Export worldwide!",,100%,2000,,Active
1973 BMW 2002,8500.0,1973,84000,BMW,Pre-Owned,,100%,386,,Active
2018 Mercedes-Benz E-Class 400 4MATIC,12120.0,2018,99000,Mercedes-Benz,Pre-Owned,2.0,100%,135,Auction,Active
2010 Chevrolet Impala LT,1900.0,2010,200934,Chevrolet,Sell Your Auto Fast Orlando,,100%,1200,,Active
2000 Nissan Maxima 1OWN LOW 40K MILES CLEAN CARFAX ALTIMA SENTRA,9995.0,2000,40370,Nissan,"FLORIDA RUST FREE, NON SMOKER, PRICED TO SELL!!!",,100%,2300,,Active
2023 BMW M5 Sedan 4D,67980.0,2023,17484,BMW,"Repairable, Rebuidable, Low price, We Export worldwide!",,100%,2000,,Active
2024 BMW 8-Series M850i xDrive Gran Coupe Sedan 4D,52999.0,2024,9295,BMW,BucketBuddy Auto LLC West Sacramento,,98.1%,51,,Active
1957 Chevrolet Bel Air/150/210,31800.0,1957,22570,Chevrolet,100+ Photos & Video - SCROLL DOWN click 'READ MORE',0.0,98.8%,629,Auction,Active
2013 Mercedes-Benz E-Class,21999.99,2013,110258,Mercedes-Benz,"E63AMG 700 HP WEISTEC,SUPER CLEAN CAR",,100%,1700,,Active
2018 BMW 3-Series 330i,9495.0,2018,99266,BMW,"Well-optioned 2018 BMW 330i, 99 k-mile Alpine White",,0%,26,,Active
New Listing2010 Mercury Grand Marquis LS 4dr Sedan,8997.0,2010,85255,Mercury,Grand Prize Cars Cedar Lake,,100%,559,,Active
2018 Lincoln Continental PREMIER,8100.0,2018,88560,Lincoln,Pre-Owned,2.0,100%,71,Auction,Active
New Listing1999 BMW 5-Series I,1500.0,1999,170000,BMW,Pre-Owned,0.0,0%,0,Auction,Active
2019 Toyota Avalon XLE,22000.0,2019,29024,Toyota,A-line Motors Paterson,,99.6%,6400,,Active
2013 BMW 3-Series I,3000.0,2013,184705,BMW,Pre-Owned,0.0,0%,0,Buy It Now,Active
2016 Toyota Avalon XLE Sedan 4D,16499.0,2016,47850,Toyota,Andy's Auto and RV Sales Justin,,100%,518,Buy It Now,Active
2019 Kia Rio S Sedan | 41k Miles | Tech Package | Apple CarPlay | Backup Cam,10990.0,2019,41204,Kia,CALL/TEXT 954-258-2700 | Nationwide Shipping Available,,100%,429,Buy It Now,Active
New Listing2021 Dodge Charger Scat Pack  Sedan 4D,37500.0,2021,19999,Dodge,Pre-Owned,,100%,328,,Active
2018 Lexus LS 500 AWD  Luxury Sedan,29990.0,2018,130243,Lexus,Pre-Owned,0.0,100%,1000,Buy It Now,Active
2022 Acura TLX Type S w/3.0T,33999.0,2022,46299,Acura,WorldWide Inc Phoenix,,100%,204,Buy It Now,Active
2024 Toyota Camry XSE,26799.0,2024,39194,Toyota,"OFF LEASE CARS, INC Carol Stream",,100%,21,Buy It Now,Active
2018 Hyundai Elantra,8900.0,2018,37783,Hyundai,Pre-Owned,,99.9%,12800,,Active
2015 BMW 650i xDrive Gran Coupe 650i Gran Coupe xDrive 4D,15495.0,2015,57661,BMW,MyEV.com Miami,,100%,150,,Active
2019 BMW 530e 530e iPerformance,17299.0,2019,82010,BMW,VMAX Group Inc RICHARDSON,,100%,1,Buy It Now,Active
2011 Chevrolet Volt Sedan 4D,5995.0,2011,160415,Chevrolet,Concierge Auto Group Glendale,,100%,20,Buy It Now,Active
New Listing2023 Nissan Altima SV,17500.0,2023,36000,Nissan,Pre-Owned,,0%,0,,Active
2021 Subaru WRX STI,21858.0,2021,42598,Subaru,Pre-Owned,,100%,3600,,Active
2008 BMW 335i 335i 4dr Sedan,9940.0,2008,80237,BMW,Car Busters Hayward,,0%,0,Buy It Now,Active
"2021 Porsche Taycan Turbo S -750 Horsepower, Premium Package, Ventilat",88990.0,2021,29845,Porsche,"50+ Photos, CLICK 'Read More'",,100%,313,,Active
1992 Buick Regal 4 Door Sedan,8992.0,1992,162644,Buick,Regal 4 Door Sedan Silver  Automatic,,100%,105,,Active
2018 Mercedes-Benz C-Class C300 BENZ CLEAN CARFAX CERTIFIED SERVICED PREMIUM,16890.0,2018,74125,Mercedes-Benz,Pre-Owned,,100%,2100,Buy It Now,Active
2022 Toyota Camry Hybrid SE,20995.0,2022,112748,Toyota,Baha Auto North Chicago,,0%,0,Buy It Now,Active
1999 Rolls-Royce Other,6100.0,1999,135000,Rolls-Royce,"1999 silver spur mechanically perfect , new valve job",9.0,100%,1000,Auction,Active
2020 Mercedes-Benz C-Class Sedan,27995.0,2020,32415,Mercedes-Benz,Prestige Motorsport Rancho Cordova,,100%,464,,Active
2021 Tesla Model 3 Performance Sedan 4D,27950.0,2021,21578,Tesla,Houston Auto Sales Houston,,98.3%,1000,Buy It Now,Active
2021 Nissan Maxima 3.5 SR,19999.0,2021,37376,Nissan,Prestige Auto Remarketing Phoenix,,100%,10,Buy It Now,Active
2021 Tesla Model 3 Performance,26990.0,2021,44964,Tesla,EV Auto - Lehi Lehi,,100%,11,,Active
2024 Audi RS6 performance 4.0 TFSI quattro,133900.0,2024,3596,Audi,Pre-Owned,,100%,263,,Active
2019 Dodge Charger SXT,13999.0,2019,96856,Dodge,VMAX Group Inc RICHARDSON,,100%,1,Buy It Now,Active
2018 BMW M3 Sedan 4D,64995.0,2018,18554,BMW,CV Luxury Auto INC FRESNO,,100%,1,Buy It Now,Active
2019 Tesla Model 3 Standard Range Plus Sedan 4D,17999.0,2019,85584,Tesla,BucketBuddy Auto LLC West Sacramento,,98.1%,51,,Active
2022 Tesla Model 3 Long Range,24250.0,2022,53137,Tesla,EV Auto - Bountiful Bountiful,,100%,11,,Active
1984 Rolls-Royce Silver Spur,24900.0,1984,53998,Rolls-Royce,Prestigious Euro Cars Fort Lauderdale,,98.5%,759,,Active
2009 BMW 328i xDrive 328i xDrive Sedan 4D,5499.0,2009,148789,BMW,Adams Auto Body & Sales Inc DOLTON,,0%,0,Buy It Now,Active
2024 Mercedes-Benz EQE 350+ Sedan,44999.0,2024,11129,Mercedes-Benz,TxTCharlie Fort Lauderdale,,100%,4,Buy It Now,Active
2017 Alfa Romeo Giulia Ti Sedan 4D,11999.0,2017,93540,Alfa Romeo,BucketBuddy Auto LLC West Sacramento,,98.1%,51,,Active
New Listing1939 Chevrolet Hot Rod / Street Rod - MASTER SEDAN -SEE VIDEO,42900.0,1939,8662,Chevrolet,Pre-Owned,,100%,274,,Active
"2014 Rolls-Royce Ghost -Black Badge Wheels, Heated and Ventilated Front S",119950.0,2014,12682,Rolls-Royce,Marshall Goldman - Maryland Jessup,,100%,313,,Active
2011 Rolls-Royce Ghost,89900.0,2011,40534,Rolls-Royce,Pre-Owned,,99.1%,1200,,Active
2020 Ford Fusion SE,11500.0,2020,73584,Ford,USED FORD,,0%,0,,Active
2018 BMW 750i xDrive 750i xDrive,24996.0,2018,77784,BMW,Lake Norman Auto Sports Inc Denver,,0%,0,Buy It Now,Active
2015 Mercedes-Benz CLA250 CLA 250 Coupe 4D,9295.0,2015,138630,Mercedes-Benz,Concierge Auto Group Glendale,,100%,20,Buy It Now,Active
2019 Dodge Charger,25500.0,2019,34625,Dodge,FUENTES MOTORS | DALLAS TX,,0%,81,,Active
1973 Plymouth Satellite,24950.0,1973,74196,Plymouth,Pre-Owned,,100%,47,,Active
New Listing2016 Honda Accord EX Sedan 4D,18500.0,2016,61628,Honda,Preferred Auto Wholesale LLC Moncks Corner,,100%,44,,Active
2025 Toyota Camry XSE,32700.0,2025,37003,Toyota,Plaza Auto Mall Toyota BROOKLYN,,97.4%,304,,Active
2018 Mercedes-Benz CLA 250 CLA250 Premium Sedan,11995.0,2018,121745,Mercedes-Benz,FAST LOWCOST SHIPPING! FREE CARFAX! FLCARCOLLECTION.COM,,100%,437,,Active
2021 BMW 5-Series 530i,26642.0,2021,50885,BMW,Varsity Auto Group Westbury,,0%,0,,Active
2022 Lexus ES300h ES 300h Sedan 4D,29995.0,2022,44882,Lexus,Bespoke Auto Collection Roseville,,100%,19,Buy It Now,Active
2007 Nissan Altima Hybrid Sedan 4D,5795.0,2007,148697,Nissan,Concierge Auto Group Glendale,,100%,20,Buy It Now,Active
2012 Hyundai Sonata HYBRID,8250.0,2012,56759,Hyundai,Pre-Owned,,100%,474,,Active
1977 Mercedes-Benz 450 SEL 6.9 Sedan,69900.0,1977,78861,Mercedes-Benz,Auburn Classic Cars Auburn,,100%,5,,Active
1956 Ford Fairlane,21900.0,1956,44133,Ford,Pre-Owned,,100%,339,Buy It Now,Active
1951 Packard 200 Sedan,9995.0,1951,51697,Packard,Pre-Owned,,80%,40,,Active
2017 Toyota Corolla 50th Anniversary 1.8Lt 4Cylinders,9998.0,2017,122315,Toyota,My Nice Car LLC Orange City,,100%,484,,Active
2015 S-Class S 550 109K MSRP TOP LOADED NAV PANO DRIVE ASST,23495.0,2015,81211,Mercedes-Benz,Pre-Owned,,100%,888,,Active
2015 Tesla Model S P85D 42K MILES BATTERY AND REAR DRIVE UNIT,21999.0,2015,73478,Tesla,WE SHIP NATIONWIDE,,100%,4200,,Active
2023 BMW M8 Competition,84999.0,2023,28044,BMW,TxTCharlie Fort Lauderdale,,100%,4,Buy It Now,Active
2014 Kia Optima LX,13700.0,2014,767,Kia,Pre-Owned,,0%,0,,Active
2019 Lincoln MKC,11900.0,2019,55684,Lincoln,Pre-Owned,,99.9%,12800,,Active
"New Listing2023 Audi A8 L 55 TFSI -Long Wheelbase, Executive Package, Blac",60990.0,2023,19513,Audi,"50+ Photos, CLICK 'Read More'",,100%,313,,Active
2002 Lincoln Continental Only 54K mi Leather Serviced CARFAX WE SHIP!,12950.0,2002,54154,Lincoln,Pre-Owned,,100%,2600,,Active
2013 Mercedes-Benz E350 E 350 Sedan 4D,8950.0,2013,108710,Mercedes-Benz,HP Auto Sacramento,,100%,1,Buy It Now,Active
2015 Mercedes-Benz S-Class 550 4MATIC,21500.0,2015,114098,Mercedes-Benz,Pre-Owned,,90.9%,146,,Active
2021 Mercedes-Benz S580 4Matic 1 Owner AMG Line Night Pkg Rear Axle Steering,64991.0,2021,42493,Mercedes-Benz,Platinum Motorsports Inc Hickory Hills,,100%,561,,Active
2017 Chevrolet Impala,8900.0,2017,88759,Chevrolet,Pre-Owned,,99.9%,12800,,Active
2018 Honda Ridgeline,14900.0,2018,83714,Honda,Pre-Owned,,99.9%,12800,,Active
2015 BMW 650i xDrive Gran Coupe 650i xDrive,21900.0,2015,57541,BMW,Supreme Motors (CA) Costa Mesa,,0%,0,,Active
2012 Lexus ES350 Base 4dr Sedan,14995.0,2012,86319,Lexus,Kafco Motors Holbrook,,0%,0,Buy It Now,Active
2013 Mercedes-Benz E-Class Designo Package AMG 1 of a kind. 2 tone leather seats,28000.0,2013,94225,Mercedes-Benz,2013 Mercedes Benz E63 AMG Designo,,100%,124,,Active
2000 Mercury Grand Marquis LS ONLY 30K MILES CLEAN CARFAX NON-SMOKER!,9999.0,2000,30245,Mercury,Pre-Owned,,100%,1300,,Active
2015 Mercedes-Benz CLS400 CLS400 4MATIC,21395.0,2015,68871,Mercedes-Benz,HighEnd Motors Chicago,,0%,0,,Active
New Listing2025 Chevrolet Malibu,13900.0,2025,19267,Chevrolet,Pre-Owned,,99.9%,12800,,Active
1962 Chevrolet Bel Air,60000.0,1962,60000,Chevrolet,Pre-Owned,,100%,179,,Active
New Listing1966 Chevrolet Impala,17000.0,1966,99326,Chevrolet,Pre-Owned,,100%,182,,Active
2019 Dodge Charger GT,13900.0,2019,35000,Dodge,Pre-Owned,,71.4%,50,,Active
1939 Ford Tudor 2-Door Sedan,32500.0,1939,7939,Ford,Pre-Owned,,100%,1100,,Active
1955 Chevrolet Bel Air 2 tone,60000.0,1955,1111111,Chevrolet,Pre-Owned,,100%,165,,Active
2018 Mercedes-Benz S450 S450 4MATIC,32996.0,2018,69628,Mercedes-Benz,Lake Norman Auto Sports Inc Denver,,0%,0,Buy It Now,Active
New Listing2022 Mercedes-Benz S-Class S580 - HUGE MSRP! - UPGRADES - CLEAN CARFAX - 1 OWNER,82999.0,2022,40587,Mercedes-Benz,Pre-Owned,,100%,27,Buy It Now,Active
2012 Toyota Camry LE•Sedan 4D,12777.0,2012,123720,Toyota,Pre-Owned,,0%,0,Buy It Now,Active
2025 Volkswagen Jetta SE,18599.0,2025,15401,Volkswagen,"OFF LEASE CARS, INC Carol Stream",,100%,21,Buy It Now,Active
2018 Honda Civic EX Sedan 4D,14111.0,2018,59520,Honda,IE Auto Sales Riverside,,0%,0,Buy It Now,Active
2007 Ford Fusion SE,2500.0,2007,170000,Ford,Pre-Owned,,0%,0,,Active
New Listing2018 Lexus LS 500 Luxury   MSRP New $79588,28900.0,2018,108596,Lexus,Pre-Owned,,87.5%,992,,Active
2022 Tesla Model 3 Performance,25990.0,2022,90333,Tesla,EV Auto - Lehi Lehi,,100%,11,,Active
2011 Honda Civic EX  with Moon Roof,560.0,2011,148700,Honda,Pre-Owned,3.0,100%,1000,Buy It Now,Active
1962 Chevrolet Bel Air/150/210,49900.0,1962,65000,Chevrolet,Pre-Owned,,100%,33,,Active
1960 Mercedes-Benz 190B series,22000.0,1960,7649,Mercedes-Benz,Pre-Owned,,100%,5400,,Active
New Listing2019 Cadillac CT6 Luxury AWD,25395.0,2019,43168,Cadillac,Car Dome Detroit,0.0,100%,440,Buy It Now,Active
"1995 Chevrolet Impala SS LT-1, 17"",  Auto, Gorgeous, Only 76k!",23995.0,1995,76639,Chevrolet,Corvette Warehouse Dallas,,98.8%,4300,Buy It Now,Active
2015 Dodge Charger 4dr Sdn RT RWD,13991.0,2015,128784,Dodge,EJ’s Auto World Panama City,,100%,7,,Active
1950 Chevrolet Other Pickups,14000.0,1950,500,Chevrolet,Pre-Owned,0.0,0%,82,Buy It Now,Active
"2018 BMW 6-Series 650i xDrive M Sport Edition Gran Coupe 51,054 Miles Serviced",33788.0,2018,51054,BMW,Pre-Owned,,99.4%,2900,,Active
2014 Lexus IS250 IS 250 Sedan 4D,13999.41,2014,83169,Lexus,IE Auto Sales Riverside,,0%,0,Buy It Now,Active
2001 Bentley Arnage Le Mans,29995.0,2001,35849,Bentley,Ultra Motorcars of Birmingham Birmingham,,100%,1,Buy It Now,Active
New Listing1951 Chrysler Other,7500.0,1951,0,Chrysler,Fresh Poppy's Patina Satin Clearcoat,,100%,12,,Active
1955 Chevrolet 210,19099.0,1955,1672,Chevrolet,Classic Car Addict Mesa,12.0,100%,23,Buy It Now,Active
2015 Rolls-Royce Ghost 4dr Sedan Florida Car,117900.0,2015,49092,Rolls-Royce,LOW COST SHIPPING! FREE CARFAX! AUTOSPORTFLORIDA.COM,,100%,584,,Active
2019 Mercedes-Benz Mercedes-AMG S-Class S 63 AMG Sedan 4D,74995.0,2019,47481,Mercedes-Benz,The Platinum Collection LLC Delray Beach,,50%,0,,Active
2003 Jaguar XJ8,6000.0,2003,105655,Jaguar,Pre-Owned,,100%,3,,Active
2018 Tesla Model 3 Long Range Sedan 4D,16999.0,2018,112535,Tesla,BucketBuddy Auto LLC West Sacramento,,98.1%,51,,Active
2007 Mercedes-Benz 5.5L V8,9990.0,2007,73928,Mercedes-Benz,Pre-Owned,0.0,100%,1000,Buy It Now,Active
2022 Cadillac CT4-V 2.7TT V-EDITION(TECHNOLOGY PACKAGE),28999.0,2022,33989,Cadillac,(313-500-1118)CALL OR TEXT WALLY ANYTIME,,100%,3400,,Active
2022 BMW M4,75999.0,2022,14881,BMW,Pre-Owned,,100%,117,,Active
2005 Mercury Grand Marquis LS,5000.0,2005,140000,Mercury,Pre-Owned,,0%,0,,Active
1948 Buick Roadmaster,5000.0,1948,99999,Buick,CALL TITUS 863 661 0292 ADDITIONAL DETAILS,0.0,100%,758,Auction,Active
2023 Hyundai Elantra,13900.0,2023,7240,Hyundai,Pre-Owned,,99.9%,12800,,Active
2017 Volkswagen Jetta 1.4T S Sedan 4D,10000.0,2017,103717,Volkswagen,Evoke Autos LLC Jonesboro,,100%,72,Buy It Now,Active
2022 Porsche Taycan 4S,67999.0,2022,16790,Porsche,TxTCharlie Fort Lauderdale,,100%,4,Buy It Now,Active
2014 Lexus GS350 F Sport 4D Sedan,16999.0,2014,69264,Lexus,Prestige Auto Remarketing Phoenix,,100%,10,Buy It Now,Active
2021 Dodge Charger Scat Pack Widebody Sedan 4D,31900.0,2021,27085,Dodge,Pre-Owned,,92.9%,729,Buy It Now,Active
2013 Mercedes-Benz E-Class,59999.0,2013,23639,Mercedes-Benz,Pre-Owned,,100%,437,,Active
"2019 Kia Cadenza Limited Sedan Black/Black, EZ Financing, Only 52k!",19995.0,2019,52762,Kia,Corvette Warehouse Dallas,,98.8%,4300,Buy It Now,Active
2018 Hyundai Sonata SPORT,10995.0,2018,107899,Hyundai,Auto House of Bloomington Bloomington,,0%,0,,Active
2019 Cadillac Cts-V Sedan 4D,52888.0,2019,97330,Cadillac,PROSPERITY MOTORS OF TEXAS Carrolton,,100%,726,Buy It Now,Active
2011 BMW 535i 535i,7500.0,2011,135469,BMW,T and S Express LLC Greer,,0%,0,Buy It Now,Active
2018 Nissan Altima 2.5 S 4dr Sedan,16500.0,2018,63840,Nissan,P7 Auto Firm Richmond,,98.4%,1000,,Active
2011 Mercedes-Benz C300 C 300 Sport Sedan 4D,9333.0,2011,83607,Mercedes-Benz,Ellectra Motors Riverside,,100%,7,Buy It Now,Active
New Listing2022 Dodge Charger SXT,18600.0,2022,42580,Dodge,EZ CAR Billings,,0%,0,,Active
2016 Audi A4,10750.0,2016,130749,Audi,Pre-Owned,,100%,16,,Active
2010 Saab 9-3 Sport XWD AWD 4dr Sedan,8740.0,2010,79544,Saab,Car Busters Hayward,,0%,0,Buy It Now,Active
2017 Subaru Legacy 2.5I PREMIUM,10500.0,2017,75789,Subaru,Pre-Owned,,0%,0,,Active
2017 Volkswagen Jetta 1.4T S 4dr Sedan 6A,5995.0,2017,127483,Volkswagen,Prestigious Euro Cars Fort Lauderdale,,98.5%,759,,Active
2007 Mitsubishi Galant ES,3500.0,2007,208390,Mitsubishi,Pre-Owned,,100%,1,,Active
2018 Tesla Model 3 Long Range,17290.0,2018,105601,Tesla,EV Auto - Brentwood Brentwood,,100%,11,,Active
2019 Honda Civic Type R,39900.0,2019,10791,Honda,Pre-Owned,,100%,159,,Active
2020 Mazda Mazda3,13900.0,2020,17516,Mazda,Pre-Owned,,99.9%,12800,,Active
1997 Toyota Chaser Tourer V,30995.0,1997,85000,Toyota,Pre-Owned,,100%,96,,Active
2023 Kia Forte LXS Sedan 4D,16990.0,2023,25895,Kia,Nash Auto Costa Mesa,,100%,540,,Active
2018 Audi A3,11900.0,2018,68254,Audi,Pre-Owned,,99.9%,12800,,Active
1996 Mitsubishi Lancer Evolution IV,23000.0,1996,124000,Mitsubishi,Pre-Owned,,100%,10,,Active
1957 Volkswagen Beetle - Classic Type 1 Oval Window 2276cc,31000.0,1957,20310,Volkswagen,Pre-Owned,,100%,276,,Active
"2021 Mercedes-Benz A 220 4MATIC, PREMIUM PKG, W/ BURMESTER SOUND SYSTEM",24950.0,2021,32660,Mercedes-Benz,Auto Collection of Murfreesboro Murfreesboro 5% DEPOSIT,,99.6%,970,,Active
"1930 Chrysler DeSoto Straight 8 - Bigger than Ford Model A or Chevy , as Packard",23750.0,1930,30904,Chrysler,Pre-Owned,,100%,424,,Active
2026 BMW M3 Competition,92980.0,2026,995,BMW,Limited Spec Miami,,94.7%,635,,Active
1929 Packard LIMOUSINE,45000.0,1929,34567,Packard,Collector Motors Houston,,0%,366,,Active
1996 Mercedes-Benz S Class 4dr Sdn 3.2L LWB,14500.0,1996,63500,Mercedes-Benz,Pre-Owned,,100%,3300,Buy It Now,Active
2013 Mercedes-Benz E350 4MATIC Sport Sedan,8999.0,2013,117058,Mercedes-Benz,VMAX Group Inc RICHARDSON,,100%,1,Buy It Now,Active
2005 Volvo S40 2.4i 4dr Sedan,6540.0,2005,67262,Volvo,Car Busters Hayward,,0%,0,Buy It Now,Active
New Listing2008 Mercedes-Benz S-Class,5200.0,2008,108000,Mercedes-Benz,Pre-Owned,0.0,0%,0,Auction,Active
2021 Toyota Mirai XLE,10500.0,2021,40279,Toyota,Pre-Owned,,99.6%,1200,,Active
2014 Mercedes-Benz E-Class 4dr Sdn E 350 Sport RWD,16900.0,2014,48245,Mercedes-Benz,Pre-Owned,,100%,3300,Buy It Now,Active
2022 Audi RS e-tron GT Sedan 4D,49995.0,2022,47174,Audi,TX Auto Group Houston Houston,,0%,398,,Active
2019 BMW M5 Sedan 4D,48777.0,2019,61994,BMW,IE Auto Sales Riverside,,0%,0,Buy It Now,Active
2020 Nissan Altima,9900.0,2020,97144,Nissan,Pre-Owned,,99.9%,12800,,Active
1930 Hudson Sedan Street Rod Ford V8 Steel body,29900.0,1930,9400,Hudson,Pre-Owned,,98.6%,3100,,Active
2015 BMW 5-Series XI,17150.0,2015,76600,BMW,Pre-Owned,,100%,1,,Active
2015 BMW 6-Series Alpina B6 Gran Coupe X-Drive,15000.0,2015,114000,BMW,Pre-Owned,,0%,105,Buy It Now,Active
2013 Ford Fusion SE Sedan 4D,6499.0,2013,123478,Ford,Adams Auto Body & Sales Inc DOLTON,,0%,0,Buy It Now,Active
2021 Honda Civic Sport Sedan 4D,17450.0,2021,101098,Honda,Legacy Motorcars of GA LLC Marietta,,100%,1,Buy It Now,Active
2015 Nissan Altima 2.5,10000.0,2015,85878,Nissan,Pre-Owned,,54.5%,3,,Active
New Listing2021 Tesla Model 3,16900.0,2021,71450,Tesla,Pre-Owned,,99.9%,12800,,Active
2010 Nissan Sentra 2.0,5000.0,2010,108000,Nissan,Pre-Owned,,100%,41,,Active
2023 Tesla Model 3,20900.0,2023,24898,Tesla,Pre-Owned,,99.9%,12800,,Active
2025 Hyundai Elantra SEL Convenience,19500.0,2025,5172,Hyundai,Plaza Auto Mall Hyundai BROOKLYN,,97.4%,304,,Active
2022 Lucid Air Grand Touring,63995.0,2022,8697,,EXOTIC KNIGHTS Orlando,,100%,99,,Active
1999 BMW 7-Series Japan Market | AC Schnitzer ACS7 | Titan Silver,29950.0,1999,46975,BMW,Pre-Owned,,100%,1100,,Active
2009 Acura TL,11500.0,2009,40954,Acura,Pre-Owned,,100%,2100,,Active
2023 Tesla Model 3 Standard Sedan 4D,15999.0,2023,109948,Tesla,Adams Auto Body & Sales Inc DOLTON,,0%,0,Buy It Now,Active
1996 Cadillac DeVille CONCOURS,2400.0,1996,121153,Cadillac,Pre-Owned,,100%,711,Buy It Now,Active
2022 Nissan Altima 2.5 S Sedan,17800.0,2022,27413,Nissan,Pre-Owned,,100%,315,,Active
2020 Mercedes-Benz S-Class 560,49999.0,2020,23304,Mercedes-Benz,Pre-Owned,,0%,0,,Active
2019 Mercedes-Benz A220 A 220 4MATIC Sedan,18995.0,2019,63188,Mercedes-Benz,Ultra Motorcars of Birmingham Birmingham,,100%,1,Buy It Now,Active
2020 Subaru WRX Sedan 4D,16998.0,2020,88417,Subaru,California Motor Center Bellflower,,100%,171,Buy It Now,Active
2020 Tesla Model S Performance AWD 4dr Liftback,40000.0,2020,39563,Tesla,American Supercars Fresno,,100%,460,Buy It Now,Active
2024 Toyota Mirai XLE Sedan 4D,14490.0,2024,23740,Toyota,Nash Auto Costa Mesa,,100%,540,,Active
2020 Cadillac CT5 Premium Luxury,22799.0,2020,69736,Cadillac,VMAX Group Inc RICHARDSON,,100%,1,Buy It Now,Active
New Listing2020 Genesis G90 5.0L Ultimate,24995.0,2020,99417,Genesis,Baha Auto North Chicago,,0%,0,Buy It Now,Active
1948 Plymouth Custom,1000.0,1948,71576,Plymouth,Pre-Owned,0.0,100%,63,Buy It Now,Active
1988 Mercedes-Benz 500-Series 560 SEL,17000.0,1988,79000,Mercedes-Benz,Pre-Owned,,100%,374,,Active
1988 Jaguar XJ6 1 Owner California Car 60k mi Collectible CARFAX we ship!,10450.0,1988,60101,Jaguar,Pre-Owned,,100%,2600,,Active
2017 Bentley Flying Spur,109900.0,2017,22700,Bentley,Pre-Owned,,0%,5,,Active
2022 Tesla Model 3 Long Range,20690.0,2022,101148,Tesla,EV Auto - Bountiful Bountiful,,100%,11,,Active
2011 Bentley Mulsanne Sedan 4D,84995.0,2011,45340,Bentley,RP Exotics St. Louis,,100%,100,Buy It Now,Active
2014 Mobility Ventures MV-1 LX WHEELCHAIR VAN,17998.0,2014,64500,Mobility Ventures,Pre-Owned,,100%,1200,,Active
2022 Mercedes-Benz Eqs Sedan 450+,37950.0,2022,4200,Mercedes-Benz,Surplus EV Pasadena,,0%,0,,Active
2021 Tesla Model 3 AWD MODEL 3 LONG RANGE-EDITION(DUAL MOTORS),24995.0,2021,16989,Tesla,(313-728-6166)CALL OR TEXT TODD ANYTIME,,100%,3400,,Active
2022 Dodge Charger,13900.0,2022,76999,Dodge,Pre-Owned,,99.9%,12800,,Active
2011 Cadillac CTS Sedan Sedan 3.0L Performance RWD,7995.0,2011,99413,Cadillac,FAST LOWCOST SHIPPING! FREE CARFAX! FLCARCOLLECTION.COM,,100%,437,,Active
2021 Mercedes-Benz E-Class E 450 4MATIC Luxury Sedan w/Driver Assistance/Prem,42695.0,2021,16774,Mercedes-Benz,TrustAuto Sykesville,,0%,0,,Active
2022 Nissan Altima FWD,12900.0,2022,45226,Nissan,Pre-Owned,,99.9%,12800,,Active
2019 Mercedes-Benz S560 S 560 Sedan 4D,34999.0,2019,71600,Mercedes-Benz,Dallas I Car Dallas,,100%,16,Buy It Now,Active
2018 Tesla Model S 75D Sedan 4D,27890.0,2018,17764,Tesla,Nash Auto Costa Mesa,,100%,540,,Active
