id,price,mileage,brand,clean_model,model_encoded,brand_encoded,is_auction,car_age,miles_per_year,price_per_mile,brand_tier,model_rarity
37,2800.0,79200,Jaguar,stype,1483,18,0,22,3600.0,0.04,2,2
38,4200.0,173910,Lincoln,town car,1528,21,1,22,7905.0,0.02,2,2
39,2700.0,160040,BMW,5series i automatic,179,4,0,25,6401.6,0.02,3,1
40,8350.0,87408,Dodge,charger pursuit extremely 57 hemi ho,511,10,0,14,6243.43,0.1,2,1
41,5750.0,171000,Honda,accord lx,360,14,0,10,17100.0,0.03,2,27
42,13000.0,67231,Lexus,es 350,788,20,0,11,6111.91,0.19,2,8
45,8995.0,83000,Audi,a8 l quattro,337,3,0,17,4882.35,0.11,2,2
46,12499.0,56827,Honda,civic,537,14,0,4,14206.75,0.22,2,31
47,14500.0,34569,Infiniti,m35 one with options pristine,1061,17,0,18,1920.5,0.42,2,1
48,8800.0,57721,Hyundai,elantra sel,773,16,0,4,14430.25,0.15,2,12
49,22900.0,22850,Maserati,quattroporte s 1 florida car,1271,22,0,9,2538.89,1.0,2,1
51,33000.0,74000,BMW,m5 base,1064,4,0,25,2960.0,0.45,3,3
52,9990.0,154246,Dodge,charger sxt,534,10,0,8,19280.75,0.06,2,25
53,18990.0,26100,Maserati,quattroporte s q4,1273,22,0,10,2610.0,0.73,2,2
54,5000.0,123296,Nissan,sentra s,1448,30,0,9,13699.56,0.04,2,13
55,17900.0,127388,Cadillac,cts sdn,698,7,0,20,6369.4,0.14,2,1
56,9600.0,40909,Mercedes-Benz,cclass,470,25,0,6,6818.17,0.23,3,8
57,22900.0,61195,Audi,a6,298,3,0,6,10199.17,0.37,2,7
58,10000.0,138000,Cadillac,xts,1606,7,0,6,23000.0,0.07,2,1
59,45000.0,20573,Cadillac,atsv,408,7,0,7,2939.0,2.19,2,1
61,7499.0,103777,Infiniti,g25 x,856,17,0,13,7982.85,0.07,2,1
62,19950.0,28681,Lincoln,town car executive,1535,21,0,22,1303.68,0.7,2,2
63,24788.0,62062,Mercedes-Benz,amg 4matic,394,25,0,9,6895.78,0.4,3,1
64,84999.0,30918,Mercedes-Benz,sclass s580 huge upgrades lustrous wheels 1,1431,25,0,4,7729.5,2.75,3,1
65,3900.0,97102,Volkswagen,jetta s 5m,980,41,0,16,6068.88,0.04,2,1
66,6449.0,75311,Toyota,yaris,1620,40,0,16,4706.94,0.09,2,3
67,15980.0,138999,Audi,a8 30l tdi,327,3,0,10,13899.9,0.11,2,1
68,2999.0,105346,Hyundai,elantra gls,766,16,1,18,5852.56,0.03,2,6
69,23419.0,83994,BMW,m5,1063,4,0,12,6999.5,0.28,3,16
71,9500.0,182000,Audi,s8 quattro,1373,3,0,23,7913.04,0.05,2,1
73,8990.0,122279,Ford,fusion titanium hybrid,852,11,0,8,15284.88,0.07,1,3
74,7900.0,93000,BMW,328i xdrive 328i xdrive awd,86,4,0,12,7750.0,0.08,3,1
75,24900.0,69810,Mercedes-Benz,sclass s550,1417,25,0,10,6981.0,0.36,3,3
78,13900.0,33738,Subaru,legacy,1014,37,0,3,11246.0,0.41,2,8
79,14500.0,75,Chevrolet,malibu 1fl,1081,8,0,1,75.0,190.79,2,1
80,8500.0,500,Honda,accord exl,354,14,0,16,31.25,16.97,2,31
81,11995.0,98036,Audi,a8 40t quattro top bkcam ac seats,330,3,0,13,7541.23,0.12,2,1
82,19995.0,114132,BMW,540i 540i,154,4,0,7,16304.57,0.18,3,3
83,79800.0,25969,Audi,rs 3 25t quattro fully built 1000hp over in upgr,1294,3,0,6,4328.17,3.07,2,1
84,11858.0,31312,Honda,accord lx,360,14,0,2,15656.0,0.38,2,27
85,9000.0,125115,Ford,fusion plugin hybrid titanium,844,11,0,9,13901.67,0.07,1,2
86,5778.0,87930,Hyundai,46l v8 pearl white,126,16,0,13,6763.85,0.07,2,1
87,3250.0,169350,Toyota,yaris,1620,40,0,18,9408.33,0.02,2,3
89,5800.0,156000,Cadillac,luxury,1048,7,0,14,11142.86,0.04,2,1
90,7100.0,21000,BMW,m3 competition,1054,4,1,3,7000.0,0.34,3,10
91,4000.0,145554,BMW,3series i sulev,116,4,0,9,16172.67,0.03,3,1
92,7900.0,43253,Nissan,sentra,1443,30,0,6,7208.83,0.18,2,9
93,24800.0,122371,Porsche,panamera 4,1192,32,0,9,13596.78,0.2,3,3
94,9400.0,82167,BMW,528i 528i,143,4,0,11,7469.73,0.11,3,4
96,13500.0,68291,Mercedes-Benz,s550 s 550,1337,25,0,18,3793.94,0.2,3,11
97,14900.0,74625,Honda,civic,537,14,0,3,24875.0,0.2,2,31
98,5900.0,136547,Nissan,versa 16 sv,1555,30,0,8,17068.38,0.04,2,1
99,13593.0,25265,Toyota,camry handicap controls corolla 1owner,453,40,0,13,1943.46,0.54,2,1
100,4000.0,117830,Maserati,quattroporte,1262,22,0,15,7855.33,0.03,2,1
101,57450.0,20432,Tesla,model s plaid,1171,39,0,3,6810.67,2.81,3,8
104,7800.0,105331,Honda,accord exl v6,357,14,0,17,6195.94,0.07,2,2
105,18775.0,23400,Mercedes-Benz,clsclass cls550 amg,586,25,0,16,1462.5,0.8,3,1
106,39999.0,39272,Audi,a8 l 30 quattro tdi lwb texas car turbo diesel,331,3,0,10,3927.2,1.02,2,1
107,16000.0,52000,BMW,3series xi,118,4,0,7,7428.57,0.31,3,2
108,15500.0,56700,Maserati,ghibli s delivery call 7863283187,883,22,0,7,8100.0,0.27,2,1
110,39950.0,63100,Subaru,wrx,1563,37,0,20,3155.0,0.63,2,36
111,1150.0,104040,Cadillac,xts luxury collection,1611,7,1,9,11560.0,0.01,2,3
112,17995.0,64526,Acura,tlx 35 wtechnology pkg,1517,1,0,5,12905.2,0.28,2,1
114,9995.0,61240,BMW,3series 328i in,104,4,0,15,4082.67,0.16,3,1
115,13460.0,45158,Kia,rio s,1286,19,0,2,22579.0,0.3,2,3
116,22499.0,67369,Kia,k5 line,991,19,0,4,16842.25,0.33,2,13
117,14999.0,108263,Honda,accord,347,14,0,7,15466.14,0.14,2,53
118,6999.0,64755,Nissan,versa sv,1559,30,0,10,6475.5,0.11,2,9
119,23133.0,63408,BMW,3series 330i,109,4,0,4,15852.0,0.36,3,4
120,4000.0,122854,Nissan,sentra sr,1450,30,0,10,12285.4,0.03,2,9
121,17785.0,78976,Acura,tlx 23999999999999999,1512,1,0,6,13162.67,0.23,2,2
122,20295.0,55439,Subaru,wrx,1563,37,0,4,13859.75,0.37,2,36
123,9495.0,113407,Audi,a3 quattro 20t,264,3,0,9,12600.78,0.08,2,2
124,6999.0,140718,Ford,taurus,1487,11,0,15,9381.2,0.05,1,6
125,9250.0,125524,Honda,civic exl,540,14,0,12,10460.33,0.07,2,12
126,19995.0,88321,Toyota,camry,445,40,0,3,29440.33,0.23,2,95
127,17995.0,57732,Chevrolet,malibu lt w1lt,1086,8,0,1,57732.0,0.31,2,4
128,14632.0,54696,Kia,forte lxs,833,19,0,3,18232.0,0.27,2,17
130,11995.0,100109,Nissan,sentra s,1448,30,0,5,20021.8,0.12,2,13
131,13350.0,56394,Volkswagen,passat 20t,1222,41,0,7,8056.29,0.24,2,3
132,14900.0,62604,Maserati,ghibli s q4,885,22,0,10,6260.4,0.24,2,4
133,9375.0,76420,Volvo,s60 t5 premier,1361,42,0,11,6947.27,0.12,2,1
136,17995.0,91574,Dodge,charger sxt,534,10,0,6,15262.33,0.2,2,25
137,27995.0,57673,Audi,a6 quattro 45,317,3,0,2,28836.5,0.49,2,1
138,20000.0,55961,Kia,forte line,830,19,0,5,11192.2,0.36,2,5
139,5499.0,109909,Hyundai,elantra,765,16,0,9,12212.11,0.05,2,35
140,8999.0,120619,Lincoln,mks base,1124,21,0,10,12061.9,0.07,2,1
141,24795.0,38898,Toyota,camry,445,40,0,1,38898.0,0.64,2,95
142,14995.0,59256,Hyundai,accent,345,16,0,5,11851.2,0.25,2,3
144,52495.0,69370,Mercedes-Benz,sclass s500,1416,25,0,3,23123.33,0.76,3,2
146,16181.0,59380,Volkswagen,jetta sel,983,41,0,5,11876.0,0.27,2,1
147,19250.0,35970,Nissan,altima 25 sv,384,30,0,1,35970.0,0.54,2,32
149,15280.0,56836,Kia,forte,827,19,0,4,14209.0,0.27,2,4
151,20950.0,41839,Toyota,corolla,610,40,0,2,20919.5,0.5,2,68
152,64900.0,26628,Porsche,panamera 4s,1196,32,0,7,3804.0,2.44,3,1
153,4500.0,103448,Ford,taurus sel,1494,11,0,17,6085.18,0.04,1,5
154,78999.0,43157,BMW,m8 competition,1070,4,0,2,21578.5,1.83,3,2
157,5500.0,156943,Chevrolet,cruze premier,649,8,0,8,19617.88,0.04,2,2
159,25999.0,33429,Honda,accord ex,351,14,0,1,33429.0,0.78,2,24
160,7995.0,141679,Hyundai,elantra,765,16,0,8,17709.88,0.06,2,35
161,9750.0,110650,Hyundai,sonata,1454,16,0,6,18441.67,0.09,2,49
162,7995.0,107009,Mercedes-Benz,c300 c300 4matic,434,25,0,13,8231.46,0.07,3,3
163,11170.0,75852,Kia,optima sx,1189,19,0,7,10836.0,0.15,2,1
164,89999.0,10496,Mercedes-Benz,s580 s 580,1346,25,0,2,5248.0,8.57,3,6
165,27650.0,40639,Honda,accord touring 20t,366,14,0,4,10159.75,0.68,2,3
166,10495.0,130537,Infiniti,g37 g37 journey,860,17,0,12,10878.08,0.08,2,2
167,8355.0,130359,Honda,civic exl,540,14,0,16,8147.44,0.06,2,12
168,7999.0,164129,Nissan,maxima sv,1107,30,0,8,20516.12,0.05,2,5
169,18995.0,58401,Honda,civic lx,550,14,0,4,14600.25,0.33,2,44
171,15795.0,55970,Nissan,altima 25 s,379,30,0,2,27985.0,0.28,2,19
172,12995.0,74521,Hyundai,elantra,765,16,0,6,12420.17,0.17,2,35
173,18932.0,49112,Subaru,legacy 25i,1015,37,0,6,8185.33,0.39,2,7
174,8000.0,98000,Audi,a6 plus,307,3,0,11,8909.09,0.08,2,4
176,9995.0,105799,Mercedes-Benz,claclass awd 20t cla 250 4matic,568,25,0,9,11755.44,0.09,3,1
179,5999.0,93463,Kia,rio s,1286,19,0,6,15577.17,0.06,2,3
180,3000.0,135730,Subaru,impreza wrx,948,37,1,18,7540.56,0.02,2,8
181,1900.0,186000,Ford,focus,823,11,0,15,12400.0,0.01,1,13
182,41995.0,23853,Mercedes-Benz,sclass s 560,1403,25,0,7,3407.57,1.76,3,4
183,9990.0,46164,Toyota,mirai,1121,40,0,3,15388.0,0.22,2,8
184,9900.0,52446,BMW,3series,99,4,0,7,7492.29,0.19,3,6
185,8500.0,135710,Dodge,charger pursuit,510,10,0,9,15078.89,0.06,2,1
186,8450.0,81779,Saab,93 xwd 20 turbo,254,35,0,16,5111.19,0.1,1,1
187,8000.0,107970,Nissan,altima 25,376,30,0,7,15424.29,0.07,2,5
188,6995.0,72000,Mercedes-Benz,c240 c 240,426,25,0,20,3600.0,0.1,3,1
189,16995.0,93455,Porsche,panamera luxury seats hwy,1202,32,0,13,7188.85,0.18,3,1
190,5500.0,94000,Mini,clubman,589,27,0,15,6266.67,0.06,1,1
191,14500.0,145500,Pontiac,g8,868,31,0,16,9093.75,0.1,2,1
192,8400.0,100818,Ford,taurus police interceptor awd,1493,11,0,11,9165.27,0.08,1,1
193,10495.0,62585,Mercedes-Benz,eclass e 350 luxury bkcam nic,752,25,0,15,4172.33,0.17,3,1
194,13973.0,83955,Mercedes-Benz,sclass s550,1417,25,0,13,6458.08,0.17,3,3
195,27595.0,58075,Subaru,wrx sti,1566,37,0,6,9679.17,0.48,2,12
196,37950.0,41747,Maserati,quattroporte gts,1265,22,0,7,5963.86,0.91,2,3
197,3200.0,143303,Chevrolet,impala lt,935,8,0,19,7542.26,0.02,2,14
199,17999.0,65500,Toyota,camry,445,40,0,7,9357.14,0.27,2,95
201,5500.0,102000,Toyota,2017 toyota,15,40,1,8,12750.0,0.05,2,1
202,16999.0,103884,Cadillac,cts 36 luxury,683,7,0,7,14840.57,0.16,2,2
203,13900.0,25556,Chrysler,300 series black on black immaculate condition,66,9,0,11,2323.27,0.54,2,1
205,49995.0,49998,BMW,m3,1052,4,0,7,7142.57,1.0,3,17
206,8995.0,99375,Mercedes-Benz,e350 e 350,724,25,0,12,8281.25,0.09,3,9
207,31499.0,62907,Porsche,panamera s e hybrid carrera red seats,1206,32,0,10,6290.7,0.5,3,1
208,5591.0,61110,Jaguar,stype only non smoker xj8 xf,1485,18,0,24,2546.25,0.09,2,1
209,10990.0,118251,Ford,fusion plugin hybrid titanium,844,11,0,6,19708.5,0.09,1,2
210,14286.73,28580,Subaru,wrx,1563,37,1,2,14290.0,0.5,2,36
211,45500.0,62000,Chevrolet,ss,1476,8,0,8,7750.0,0.73,2,3
212,1200.0,156544,Ford,fiesta,814,11,0,14,11181.71,0.01,1,9
213,24999.0,47500,Acura,tlx 20 waspec pkg,1511,1,0,4,11875.0,0.53,2,2
217,35995.0,32381,Bentley,continental flying spur,594,5,0,18,1798.94,1.11,3,7
218,25999.0,27720,Lincoln,town car cartier only vinyl 2 owners,1531,21,0,22,1260.0,0.94,2,1
219,37895.0,37007,Lincoln,continental black label,593,21,0,5,7401.4,1.02,2,1
220,5600.0,95482,Dodge,charger police,508,10,0,11,8680.18,0.06,2,6
221,29990.0,14772,Lexus,is300 300,958,20,0,7,2110.29,2.03,2,2
222,30000.0,89000,BMW,m5,1063,4,0,11,8090.91,0.34,3,16
225,6995.0,136953,Hyundai,sonata,1454,16,0,10,13695.3,0.05,2,49
226,4550.0,27119,Tesla,model 3 model 3 luxurynavigation panoramic,1146,39,1,2,13559.5,0.17,3,1
228,15950.0,90150,BMW,5series i,178,4,0,14,6439.29,0.18,3,2
229,15250.0,40292,Mercedes-Benz,sclass,1384,25,0,18,2238.44,0.38,3,4
230,810.0,123936,BMW,3series 335i,111,4,1,18,6885.33,0.01,3,2
231,25000.0,68000,Mercedes-Benz,cclass,470,25,0,9,7555.56,0.37,3,8
232,29999.0,58400,Cadillac,ct5v base awd,666,7,0,5,11680.0,0.51,2,1
233,21000.0,96500,Jaguar,xjr,1604,18,0,11,8772.73,0.22,2,2
235,4000.0,53880,Lexus,300 awd luxury,56,20,0,6,8980.0,0.07,2,1
236,18999.0,192000,Acura,tl type s,1510,1,0,18,10666.67,0.1,2,1
237,11900.0,68177,Infiniti,q50,1244,17,0,7,9739.57,0.17,2,6
238,2500.0,155000,Nissan,altima,374,30,0,16,9687.5,0.02,2,10
241,6950.0,86000,Tesla,model s,1154,39,0,12,7166.67,0.08,3,9
243,6980.0,120873,Toyota,corolla l gas saver texas car call 8329977836,619,40,0,9,13430.33,0.06,2,1
246,21995.0,107500,Porsche,panamera s,1205,32,0,12,8958.33,0.2,3,2
249,17995.0,17134,Subaru,legacy awdeyesight driver assist technology116 screen,1020,37,0,1,17134.0,1.05,2,1
251,4555.0,122934,Chevrolet,cruze 1lt w1sd,641,8,0,10,12293.4,0.04,2,1
253,16900.0,100378,Bentley,continental flying spur awd,595,5,0,19,5283.05,0.17,3,2
256,44990.0,80971,BMW,m3,1052,4,0,8,10121.38,0.56,3,17
258,15495.0,112559,Audi,s4 plus,1325,3,0,11,10232.64,0.14,2,4
260,14858.0,19573,Subaru,wrx base,1564,37,0,1,19573.0,0.76,2,4
261,48995.0,36986,Cadillac,cts ctsv cts v ctsv charger amg m3 m5 100 ship,691,7,0,9,4109.56,1.32,2,1
262,12995.0,69669,Acura,tl shawd technologytop of the line,1509,1,0,13,5359.15,0.19,2,1
263,17590.0,62530,Infiniti,q70l l 37,1261,17,0,10,6253.0,0.28,2,2
264,9458.0,37095,Toyota,corolla l,617,40,0,11,3372.27,0.25,2,4
265,19750.0,26908,Ford,taurus awd,1488,11,0,7,3844.0,0.73,1,2
266,9900.0,93483,Chevrolet,caprice ppv,466,8,0,12,7790.25,0.11,2,2
267,4950.0,144676,Toyota,corolla,610,40,0,16,9042.25,0.03,2,68
269,4000.0,114688,Volkswagen,passat sel,1230,41,0,12,9557.33,0.03,2,1
270,19000.0,57800,Tesla,model 3,1135,39,0,4,14450.0,0.33,3,14
271,14890.0,80398,Mercedes-Benz,s550 s 550 4matic,1338,25,0,14,5742.71,0.19,3,1
272,16900.0,38459,Toyota,camry,445,40,0,4,9614.75,0.44,2,95
273,12995.0,58229,Mercedes-Benz,claclass awd 20t cla 250 4matic turbo,569,25,0,8,7278.62,0.22,3,1
275,14995.0,77328,Lexus,gs350 gs 350,917,20,0,10,7732.8,0.19,2,2
278,18000.0,1825,Nissan,altima 25 sv,384,30,0,0,1825.0,9.86,2,32
279,7900.0,84527,Volkswagen,jetta 14t s,963,41,0,8,10565.88,0.09,2,8
280,6000.0,134200,Jaguar,xf,1574,18,0,12,11183.33,0.04,2,3
281,15500.0,84000,Honda,pilot exl awd delivery call 7863283187,1237,14,0,6,14000.0,0.18,2,1
282,14990.0,123630,Chrysler,300 series 300s,63,9,0,7,17661.43,0.12,2,3
284,39773.0,87980,BMW,m3,1052,4,0,14,6284.29,0.45,3,17
285,14500.0,65333,Honda,civic,537,14,0,4,16333.25,0.22,2,31
286,7495.0,129036,Toyota,corolla s with efficient 4cylinder,626,40,0,14,9216.86,0.06,2,1
287,5595.0,38500,Saturn,ion one non smoke,955,36,0,22,1750.0,0.15,1,1
288,21973.0,87762,BMW,750i i,216,4,0,8,10970.25,0.25,3,1
289,11595.0,126615,Subaru,impreza wrx,948,37,0,13,9739.62,0.09,2,8
290,5000.0,132600,Nissan,sentra s,1448,30,0,11,12054.55,0.04,2,13
291,11712.0,157351,BMW,m5,1063,4,1,25,6294.04,0.07,3,16
292,36800.0,71177,Mercedes-Benz,c63 amg s s,442,25,0,9,7908.56,0.52,3,1
293,1000.0,120000,Audi,a4 18t quattro,269,3,0,25,4800.0,0.01,2,1
294,13999.0,86442,Honda,accord,347,14,0,11,7858.36,0.16,2,53
295,25899.0,40497,Mercedes-Benz,cla250 cla 250,565,25,0,4,10124.25,0.64,3,3
296,5800.0,151283,Honda,civic vp 5a,562,14,0,15,10085.53,0.04,2,1
298,8495.0,63253,Cadillac,dts heated seatssteering wheel ventilated seats,715,7,0,17,3720.76,0.13,2,1
299,12995.0,126170,Audi,s3 quattro 20t prestige,1320,3,0,10,12617.0,0.1,2,1
300,8150.0,79396,Mercedes-Benz,a220 a 220,258,25,0,6,13232.67,0.1,3,2
301,12998.0,80709,BMW,335i 335i,90,4,0,12,6725.75,0.16,3,8
303,54990.0,45710,Bentley,flying spur w12 21 inch wheels front and rear heated and ve,822,5,0,10,4571.0,1.2,3,1
304,21953.0,8150,Bentley,flying spur azure,818,5,1,1,8150.0,2.69,3,1
305,10500.0,97700,Mercedes-Benz,eclass 550,739,25,0,14,6978.57,0.11,3,1
307,16999.0,95000,Honda,accord 15t i4 cvt,348,14,0,6,15833.33,0.18,2,2
308,7995.0,103943,Volkswagen,cc 20t rline,468,41,0,11,9449.36,0.08,2,2
309,2394.0,153702,Honda,accord lx,360,14,1,13,11823.23,0.02,2,27
310,25990.0,89232,Porsche,panamera gts awd 48l v8 gas burmester sound system,1200,32,0,12,7436.0,0.29,3,1
311,9973.0,83952,Mercedes-Benz,s500 s500,1334,25,0,19,4418.53,0.12,3,1
313,14500.0,103878,Mercedes-Benz,cclass polar white apple carplay luxury tech ship,492,25,0,6,17313.0,0.14,3,1
315,15299.0,50133,Lincoln,town car cartier same for 15 years,1532,21,0,23,2179.7,0.31,2,1
317,20499.0,103559,Honda,accord,347,14,0,3,34519.67,0.2,2,53
318,9000.0,182658,BMW,3series 335i,111,4,0,18,10147.67,0.05,3,2
319,34000.0,44195,Tesla,model s long range awd liftback,1163,39,0,6,7365.83,0.77,3,1
320,20900.0,60374,Cadillac,ct4 luxury,654,7,0,5,12074.8,0.35,2,4
323,71995.0,42329,Bentley,bentayga onyx,423,5,0,7,6047.0,1.7,3,1
325,19995.0,86000,Mercedes-Benz,s550 s 550,1337,25,0,9,9555.56,0.23,3,11
326,43800.0,7557,Mitsubishi,evolution gsr,807,28,0,10,755.7,5.8,2,2
327,20990.0,72704,Audi,s6 40t quattro,1352,3,0,11,6609.45,0.29,2,1
328,16099.0,54811,Volkswagen,passat,1213,41,0,4,13702.75,0.29,2,9
329,3500.0,139700,Nissan,sentra sr push 2 start navi runs drives perfect,1451,30,1,12,11641.67,0.03,2,1
330,37900.0,62081,BMW,8series m850i xdrive gran,253,4,0,3,20693.67,0.61,3,3
332,10995.0,91033,BMW,550i 550i,157,4,0,13,7002.54,0.12,3,1
334,21995.0,69920,Dodge,charger sxt,534,10,0,3,23306.67,0.31,2,25
336,15900.0,84265,Maserati,quattroporte s q4 awd,1274,22,0,10,8426.5,0.19,2,1
337,25800.0,63900,BMW,750i 750i,215,4,0,7,9128.57,0.4,3,3
339,5000.0,89408,Chevrolet,impala ls,934,8,0,8,11176.0,0.06,2,3
340,13700.0,127090,Chevrolet,caprice police,465,8,0,12,10590.83,0.11,2,2
341,11995.0,103875,Hyundai,genesis 38,875,16,0,10,10387.5,0.12,2,2
342,15500.0,110979,Mercedes-Benz,sclass 550,1389,25,0,11,10089.0,0.14,3,1
343,4000.0,92000,Nissan,altima hybrid,390,30,0,16,5750.0,0.04,2,2
344,27000.0,62239,Kia,stinger,1480,19,0,5,12447.8,0.43,2,1
345,88999.0,9299,Mercedes-Benz,sclass s580 4matic lots of upgades only,1428,25,0,4,2324.75,9.57,3,1
346,15990.0,42238,Infiniti,q70 deluxe touring,1259,17,0,9,4693.11,0.38,2,1
347,18995.0,41748,Genesis,g70 20t advanced,864,13,0,6,6958.0,0.45,3,1
348,5900.0,121984,Mercedes-Benz,sclass s500,1416,25,0,24,5082.67,0.05,3,2
352,6195.0,111050,BMW,535i 535i,150,4,0,16,6940.62,0.06,3,8
354,17999.0,39712,Lexus,es350 es 350,803,20,0,10,3971.2,0.45,2,3
355,8600.0,50215,Cadillac,deville,708,7,0,20,2510.75,0.17,2,2
356,35900.0,36823,Bentley,arnage r,398,5,0,22,1673.77,0.97,3,2
357,12999.0,86553,Lexus,es 350,788,20,0,12,7212.75,0.15,2,8
358,8999.0,121189,Honda,accord exl,354,14,0,19,6378.37,0.07,2,31
359,11990.0,71192,Ford,fusion,837,11,0,7,10170.29,0.17,1,40
360,20995.0,41636,Hyundai,sonata sel,1469,16,0,1,41636.0,0.5,2,26
362,9000.0,113148,Kia,optima lx,1187,19,0,8,14143.5,0.08,2,10
363,22995.0,47040,Cadillac,ct5 luxury,661,7,0,5,9408.0,0.49,2,2
364,9990.0,158000,Hyundai,sonata,1454,16,0,6,26333.33,0.06,2,49
365,8800.0,67500,Acura,ilx base watch plus,929,1,0,9,7500.0,0.13,2,1
366,3750.0,151000,Dodge,charger rt,512,10,0,14,10785.71,0.02,2,15
367,2900.0,82250,Mercedes-Benz,eclass e 350 4matic,748,25,0,13,6326.92,0.04,3,6
368,24395.0,31268,BMW,2series 228i xdrive,23,4,0,3,10422.67,0.78,3,2
369,25995.0,14785,BMW,545i,156,4,0,21,704.05,1.76,3,1
370,18000.0,112800,Lexus,gs f with dynamic handling,912,20,0,11,10254.55,0.16,2,1
371,7800.0,66711,Cadillac,cts,677,7,0,20,3335.55,0.12,2,6
372,5995.0,163786,Toyota,avalon xl hwy in,416,40,0,17,9634.47,0.04,2,1
373,14399.0,67421,Buick,lacrosse essence,1001,6,0,6,11236.83,0.21,1,1
374,39900.0,29500,Cadillac,ct6,669,7,0,6,4916.67,1.35,2,1
376,13950.0,29800,Mazda,3 hatchback 25 s select automatic,31,24,0,0,29800.0,0.47,2,1
377,2995.0,144597,Kia,forte ex with bluetooth and dark cherry finish,829,19,0,14,10328.36,0.02,2,1
378,2825.0,157000,BMW,3series i,115,4,1,13,12076.92,0.02,3,7
380,9995.0,61425,Chevrolet,cruze aveo non smoker malibu,642,8,0,7,8775.0,0.16,2,1
381,17500.0,34500,Honda,accord exl w delivery call 7863283187,358,14,0,4,8625.0,0.51,2,1
383,15684.0,147145,Lexus,gs350 base,915,20,0,11,13376.82,0.11,2,1
384,12500.0,105851,Lexus,ls 460,1023,20,0,17,6226.53,0.12,2,4
385,8000.0,99302,Hyundai,sonata gls,1461,16,0,12,8275.17,0.08,2,14
386,23800.0,79948,Mercedes-Benz,sclass s 550,1400,25,0,10,7994.8,0.3,3,5
387,6990.0,157818,Honda,exl,809,14,0,10,15781.8,0.04,2,1
389,13900.0,21789,Cadillac,ats luxury,407,7,0,7,3112.71,0.64,2,4
390,17497.0,34500,Audi,a4 quattro 20t quattro plus awd 7a,284,3,0,7,4928.57,0.51,2,1
392,6800.0,182000,Lexus,es,786,20,0,15,12133.33,0.04,2,2
393,13000.0,103064,Volkswagen,jetta 14t s,963,41,0,5,20612.8,0.13,2,8
395,90000.0,32000,Bentley,mulsanne speed,1177,5,0,9,3555.56,2.81,3,1
397,8997.0,54190,Toyota,corolla only one camry matrix prius,620,40,0,16,3386.88,0.17,2,1
400,15990.0,83142,Mercedes-Benz,cls550 cls 550,578,25,0,11,7558.36,0.19,3,1
403,15900.0,125000,Tesla,model 3,1135,39,0,7,17857.14,0.13,3,14
406,13900.0,78829,Honda,accord,347,14,0,5,15765.8,0.18,2,53
407,31990.0,9103,Genesis,g70 20t,863,13,0,2,4551.5,3.51,3,2
408,23000.0,183600,Mitsubishi,lancer evolution,1005,28,0,20,9180.0,0.13,2,3
